side,edge_count,backend,solver,status,baseline_rss_mb,peak_rss_mb,peak_extra_rss_mb,elapsed_s,note
3,18,shared,klu,ok,64.88671875,89.75390625,24.8671875,0.10725854150950909,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
3,18,shared,sparse,ok,64.90625,89.734375,24.828125,0.11765599064528942,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
3,18,subprocess,klu,ok,64.91796875,82.59375,17.67578125,0.10220086947083473,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
3,18,subprocess,sparse,ok,64.86328125,82.55859375,17.6953125,0.08639180287718773,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
5,50,shared,klu,ok,64.9765625,89.92578125,24.94921875,0.11001626588404179,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
5,50,shared,sparse,ok,64.9296875,89.859375,24.9296875,0.10949835553765297,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
5,50,subprocess,klu,ok,64.921875,82.6484375,17.7265625,0.09414996393024921,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
5,50,subprocess,sparse,ok,64.85546875,82.5625,17.70703125,0.09424426034092903,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
7,98,shared,klu,ok,64.89453125,90.25390625,25.359375,0.0974930077791214,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
7,98,shared,sparse,ok,64.92578125,90.375,25.44921875,0.10838927142322063,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
7,98,subprocess,klu,ok,64.921875,82.68359375,17.76171875,0.09133890643715858,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
7,98,subprocess,sparse,ok,64.9453125,82.72265625,17.77734375,0.08766568638384342,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
10,200,shared,klu,ok,64.49609375,90.7578125,26.26171875,0.10703922994434834,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
10,200,shared,sparse,ok,64.6484375,90.9609375,26.3125,0.11265499331057072,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
10,200,subprocess,klu,ok,64.546875,82.48828125,17.94140625,0.11825533956289291,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
10,200,subprocess,sparse,ok,64.5703125,82.51171875,17.94140625,0.0891021117568016,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
15,450,shared,klu,ok,65.0546875,93.80859375,28.75390625,0.12857473827898502,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
15,450,shared,sparse,ok,64.85546875,93.5390625,28.68359375,0.12400573492050171,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
15,450,subprocess,klu,ok,65.0703125,94.7578125,29.6875,0.11406352370977402,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
15,450,subprocess,sparse,ok,64.84375,97.81640625,32.97265625,0.1361238844692707,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
20,800,shared,klu,ok,64.5,96.515625,32.015625,0.16327663883566856,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
20,800,shared,sparse,ok,64.515625,96.46875,31.953125,0.15828912518918514,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
20,800,subprocess,klu,ok,64.6015625,95.44140625,30.83984375,0.19976110197603703,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
20,800,subprocess,sparse,ok,64.5546875,96.765625,32.2109375,0.1826258134096861,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
30,1800,shared,klu,ok,64.60546875,106.44921875,41.84375,0.4080612864345312,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
30,1800,shared,sparse,ok,64.5859375,106.37890625,41.79296875,0.41930110193789005,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
30,1800,subprocess,klu,ok,64.61328125,109.89453125,45.28125,0.5435632932931185,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
30,1800,subprocess,sparse,ok,64.6015625,110.2421875,45.640625,0.4732309766113758,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
40,3200,shared,klu,ok,64.52734375,120.109375,55.58203125,0.9838961344212294,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
40,3200,shared,sparse,ok,64.63671875,120.34765625,55.7109375,0.9515095110982656,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
40,3200,subprocess,klu,ok,64.58984375,123.80859375,59.21875,1.3314722068607807,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
40,3200,subprocess,sparse,ok,64.52734375,122.8828125,58.35546875,1.268042804673314,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
50,5000,shared,klu,ok,64.6171875,139.19140625,74.57421875,2.262721411883831,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
50,5000,shared,sparse,ok,64.55859375,140.80078125,76.2421875,2.2694347575306892,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
50,5000,subprocess,klu,ok,64.55078125,140.64453125,76.09375,2.8972516544163227,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
50,5000,subprocess,sparse,ok,64.58203125,140.8359375,76.25390625,2.8708364218473434,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
60,7200,shared,klu,ok,64.6171875,161.5,96.8828125,4.777227992191911,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
60,7200,shared,sparse,ok,64.58984375,161.5546875,96.96484375,4.785702902823687,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
60,7200,subprocess,klu,ok,64.5234375,162.640625,98.1171875,6.138592425733805,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
60,7200,subprocess,sparse,ok,64.515625,162.5625,98.046875,6.153120242059231,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
70,9800,shared,klu,ok,64.53515625,187.03125,122.49609375,8.853871343657374,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
70,9800,shared,sparse,ok,64.48828125,186.83984375,122.3515625,9.222752582281828,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
70,9800,subprocess,klu,ok,64.64453125,184.45703125,119.8125,11.80352628044784,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
70,9800,subprocess,sparse,ok,64.64453125,184.67578125,120.03125,12.701977467164397,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
80,12800,shared,klu,ok,64.4765625,217.9609375,153.484375,16.515050990507007,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
80,12800,shared,sparse,ok,64.56640625,218.0234375,153.45703125,15.771655296906829,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
80,12800,subprocess,klu,ok,64.60546875,220.33203125,155.7265625,21.37358345463872,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
80,12800,subprocess,sparse,ok,64.64453125,221.2109375,156.56640625,21.047439957037568,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
90,16200,shared,klu,ok,64.5546875,254.51953125,189.96484375,27.15762156061828,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
90,16200,shared,sparse,ok,64.53515625,258.12109375,193.5859375,26.07402642816305,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
90,16200,subprocess,klu,ok,64.55078125,256.2265625,191.67578125,32.70710838958621,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
90,16200,subprocess,sparse,ok,64.59765625,252.5625,187.96484375,33.18559586815536,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
100,20000,shared,klu,ok,64.53515625,295.7109375,231.17578125,40.22119300812483,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
100,20000,shared,sparse,ok,64.62109375,293.921875,229.30078125,41.19640522822738,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
100,20000,subprocess,klu,ok,64.44921875,285.171875,220.72265625,54.77681306377053,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
100,20000,subprocess,sparse,ok,64.58203125,281.71875,217.13671875,52.12719897739589,peak tree RSS minus baseline tree RSS during one free+clamped XOR update
