side,edge_count,backend,solver,per_sample_wall_mean_s
3,18,shared,klu,0.00038095089606940744
3,18,shared,sparse,0.0003856679331511259
3,18,subprocess,klu,0.005061367088928819
3,18,subprocess,sparse,0.00511015398427844
5,50,shared,klu,0.0008696368429809808
5,50,shared,sparse,0.0008549327030777931
5,50,subprocess,klu,0.006306857196614146
5,50,subprocess,sparse,0.006451105531305075
7,98,shared,klu,0.0016906973719596863
7,98,shared,sparse,0.0016793760657310486
7,98,subprocess,klu,0.008841977883130313
7,98,subprocess,sparse,0.008786595920100808
10,200,shared,klu,0.004056503069587052
10,200,shared,sparse,0.0039926813147030775
10,200,subprocess,klu,0.01691403192700818
10,200,subprocess,sparse,0.01692756696837023
15,450,shared,klu,0.011465445151552558
15,450,shared,sparse,0.011480692978948355
15,450,subprocess,klu,0.04247966221533716
15,450,subprocess,sparse,0.04139026258140802
20,800,shared,klu,0.028703139438293876
20,800,shared,sparse,0.02863694695290178
20,800,subprocess,klu,0.10164603621931746
20,800,subprocess,sparse,0.10119663751218468
30,1800,shared,klu,0.11665564711904153
30,1800,shared,sparse,0.11447931844741106
30,1800,subprocess,klu,0.4067361208354123
30,1800,subprocess,sparse,0.40757730778772383
40,3200,shared,klu,0.35505214700708165
40,3200,shared,sparse,0.35258704468840735
40,3200,subprocess,klu,1.2027791569009423
40,3200,subprocess,sparse,1.1998594318423421
50,5000,shared,klu,0.9740475464635528
50,5000,shared,sparse,1.0202289858483709
50,5000,subprocess,klu,2.8782830219017344
50,5000,subprocess,sparse,2.9035100449062883
60,7200,shared,klu,2.589557570763864
60,7200,shared,sparse,2.636597856672015
60,7200,subprocess,klu,6.209006923560519
60,7200,subprocess,sparse,6.273126995011698
70,9800,shared,klu,5.3135240835347215
70,9800,shared,sparse,5.37600856156554
70,9800,subprocess,klu,12.110871514631436
70,9800,subprocess,sparse,12.103448462300003
80,12800,shared,klu,10.146577772868332
80,12800,shared,sparse,10.122920987403486
80,12800,subprocess,klu,21.895997006101535
80,12800,subprocess,sparse,21.76792719613528
90,16200,shared,klu,17.29648472588975
90,16200,shared,sparse,17.13924231611425
90,16200,subprocess,klu,35.804250391847454
90,16200,subprocess,sparse,35.64140036536614
100,20000,shared,klu,31.28062900624471
100,20000,shared,sparse,31.23969794498058
100,20000,subprocess,klu,57.95389425104717
100,20000,subprocess,sparse,58.005067367213776
