gamma,delta,margin,endpoint_test_acc,endpoint_epoch,untrained_acc,status,runtime_s,test_loss,test_acc_recheck
0.03,0.005,0.02,0.25833333333333336,15,0.1361111111111111,ok,155.4,0.03868380861111111,0.25833333333333336
0.03,0.01,0.02,0.3527777777777778,15,0.1361111111111111,ok,246.7,0.029358326944444447,0.3527777777777778
0.03,0.02,0.02,0.5777777777777777,15,0.1361111111111111,ok,255.7,0.018880699444444444,0.5777777777777777
0.03,0.05,0.02,0.8277777777777777,15,0.1361111111111111,ok,241.7,0.008462207777777777,0.8277777777777777
0.03,0.1,0.02,0.9083333333333333,15,0.1361111111111111,ok,226.6,0.005257412222222223,0.9083333333333333
0.03,0.2,0.02,0.9388888888888889,15,0.1361111111111111,ok,214.9,0.0036245950000000004,0.9388888888888889
0.03,0.5,0.02,0.9111111111111111,15,0.1361111111111111,ok,208.0,0.004890213055555559,0.9111111111111111
0.1,0.005,0.02,0.49722222222222223,15,0.1361111111111111,ok,256.4,0.021670065555555555,0.49722222222222223
0.1,0.01,0.02,0.7666666666666667,15,0.1361111111111111,ok,190.1,0.011948825833333336,0.7666666666666667
0.1,0.02,0.02,0.8694444444444445,15,0.1361111111111111,ok,221.6,0.006774021111111113,0.8694444444444445
0.1,0.05,0.02,0.9333333333333333,15,0.1361111111111111,ok,202.1,0.003788481388888889,0.9333333333333333
0.1,0.1,0.02,0.9583333333333334,15,0.1361111111111111,ok,186.1,0.002866041944444445,0.9583333333333334
0.1,0.2,0.02,0.9611111111111111,15,0.1361111111111111,ok,179.0,0.0026215947222222227,0.9611111111111111
0.1,0.5,0.02,0.7583333333333333,15,0.1361111111111111,ok,188.6,0.013620845,0.7583333333333333
0.3,0.005,0.02,0.8305555555555556,15,0.1361111111111111,ok,217.2,0.008371650555555556,0.8305555555555556
0.3,0.01,0.02,0.9138888888888889,15,0.1361111111111111,ok,170.4,0.005161337777777778,0.9138888888888889
0.3,0.02,0.02,0.9416666666666667,15,0.1361111111111111,ok,167.5,0.0034113788888888883,0.9416666666666667
0.3,0.05,0.02,0.9666666666666667,15,0.1361111111111111,ok,146.7,0.0025553336111111113,0.9666666666666667
0.3,0.1,0.02,0.9638888888888889,15,0.1361111111111111,ok,127.5,0.002522061388888889,0.9638888888888889
0.3,0.2,0.02,0.9555555555555556,15,0.1361111111111111,ok,124.7,0.0024068611111111114,0.9555555555555556
0.3,0.5,0.02,0.6888888888888889,15,0.1361111111111111,ok,140.1,0.022116966944444448,0.6888888888888889
1.0,0.005,0.02,0.9305555555555556,15,0.1361111111111111,ok,157.0,0.0037668699999999994,0.9305555555555556
1.0,0.01,0.02,0.9611111111111111,15,0.1361111111111111,ok,153.3,0.0027849869444444442,0.9611111111111111
1.0,0.02,0.02,0.9694444444444444,15,0.1361111111111111,ok,137.7,0.0023497527777777785,0.9694444444444444
1.0,0.05,0.02,0.9805555555555555,15,0.1361111111111111,ok,138.7,0.0020280294444444446,0.9805555555555555
1.0,0.1,0.02,0.9611111111111111,15,0.1361111111111111,ok,154.3,0.002572786666666667,0.9611111111111111
1.0,0.2,0.02,0.9388888888888889,15,0.1361111111111111,ok,150.3,0.004145700000000001,0.9388888888888889
