noise_scale,mismatch_seed,test_acc,test_loss
0.2,0,0.9805555555555555,0.0020281236111111107
0.2,1,0.9805555555555555,0.0020257066666666667
0.2,2,0.9805555555555555,0.002030176944444444
0.2,3,0.9805555555555555,0.0020245541666666683
0.2,4,0.9805555555555555,0.0020289172222222227
0.5,0,0.9805555555555555,0.002028292222222223
0.5,1,0.9805555555555555,0.0020222316666666674
0.5,2,0.9805555555555555,0.0020334266666666673
0.5,3,0.9805555555555555,0.002019352777777779
0.5,4,0.9805555555555555,0.0020302719444444443
1.0,0,0.9805555555555555,0.0020286483333333332
1.0,1,0.9805555555555555,0.0020171466666666655
1.0,2,0.9805555555555555,0.002038897777777778
1.0,3,0.9805555555555555,0.002011702222222223
1.0,4,0.9805555555555555,0.0020335536111111114
2.0,0,0.9805555555555555,0.0020299372222222223
2.0,1,0.9805555555555555,0.0020077941666666677
2.0,2,0.9805555555555555,0.0020519986111111107
2.0,3,0.9805555555555555,0.001998230833333334
2.0,4,0.9805555555555555,0.0020414461111111113
5.0,0,0.975,0.002042244166666668
5.0,1,0.975,0.001999431666666667
5.0,2,0.9805555555555555,0.0021282166666666664
5.0,3,0.9777777777777777,0.0020232808333333326
5.0,4,0.9777777777777777,0.002075409722222222
10.0,0,0.9694444444444444,0.002158223055555555
10.0,1,0.975,0.0020624716666666674
10.0,2,0.9722222222222222,0.0023594824999999997
10.0,3,0.9777777777777777,0.0021968844444444444
10.0,4,0.9722222222222222,0.002167562777777778
20.0,0,0.9666666666666667,0.002519516388888889
20.0,1,0.9694444444444444,0.0023701138888888892
20.0,2,0.9583333333333334,0.0029568641666666675
20.0,3,0.9472222222222222,0.003070716666666667
20.0,4,0.9611111111111111,0.0024872433333333337
30.0,0,0.9583333333333334,0.0030814227777777783
30.0,1,0.95,0.0029448122222222213
30.0,2,0.9388888888888889,0.0038007519444444447
30.0,3,0.9166666666666666,0.0045147125
30.0,4,0.9472222222222222,0.0029123775
40.0,0,0.9333333333333333,0.0038783702777777764
40.0,1,0.9333333333333333,0.0038325994444444425
40.0,2,0.9,0.004950453055555557
40.0,3,0.8694444444444445,0.0063070825
40.0,4,0.9305555555555556,0.0035946305555555557
50.0,0,0.9,0.00509503361111111
50.0,1,0.9194444444444444,0.0050333477777777785
50.0,2,0.8722222222222222,0.006380810555555555
50.0,3,0.8333333333333334,0.008098777777777778
50.0,4,0.9166666666666666,0.004796313055555556
