noise_scale,vt_sigma_mV,vt_sigma_V,beta_sigma_percent,beta_sigma,n_chips,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,test_loss_mean,test_loss_std,status
0.2,2.0,0.002,0.1,0.001,5,0.9805555555555555,0.0,0.9805555555555555,0.9805555555555555,0.002027495722222223,2.316102770766042e-06,ok
0.5,5.0,0.005,0.25,0.0025,5,0.9805555555555555,0.0,0.9805555555555555,0.9805555555555555,0.002026715055555556,5.798459859637111e-06,ok
1.0,10.0,0.01,0.5,0.005,5,0.9805555555555555,0.0,0.9805555555555555,0.9805555555555555,0.0020259897222222223,1.1327299040344274e-05,ok
2.0,20.0,0.02,1.0,0.01,5,0.9805555555555555,0.0,0.9805555555555555,0.9805555555555555,0.002025881388888889,2.2541741773510342e-05,ok
5.0,50.0,0.05,2.5,0.025,5,0.9772222222222222,0.0023240556292613125,0.975,0.9805555555555555,0.002053716611111111,5.0064104134762445e-05,ok
10.0,100.0,0.1,5.0,0.05,5,0.9733333333333333,0.0031671539586087052,0.9694444444444444,0.9777777777777777,0.002188924888888889,0.00010786868521969745,ok
20.0,200.0,0.2,10.0,0.1,5,0.9605555555555556,0.008651339723554143,0.9472222222222222,0.9694444444444444,0.002680890888888889,0.0003115480844987464,ok
30.0,300.0,0.3,15.0,0.15,5,0.9422222222222223,0.01588442050610646,0.9166666666666666,0.9583333333333334,0.0034508153888888884,0.0006958336945628528,ok
40.0,400.0,0.4,20.0,0.2,5,0.9133333333333333,0.028286999151335483,0.8694444444444445,0.9333333333333333,0.0045126271666666665,0.0011312823182582496,ok
50.0,500.0,0.5,25.0,0.25,5,0.8883333333333333,0.03602553963749658,0.8333333333333334,0.9194444444444444,0.005880856555555556,0.0013857445635756327,ok
